Run_Start,Run_End,setcurr,threshold
5149,5153,55,2.5
5154,5154,55,2.5
5155,5155,45,2.5
5156,5156,30,2.5
5157,5157,15,2.5
5158,5158,5,1.0
5160,5160,55,2.5
5161,5161,45,2.5
5162,5162,30,2.5
5163,5163,15,2.5
5164,5164,15,2.5
5165,5165,15,2.5
5166,5166,5,1.0
5167,5167,55,2.5
5168,5168,45,2.5
5169,5169,30,2.5
5170,5170,15,2.5
5171,5171,5,1.0
5173,5173,30,2.5
5175,5175,55,2.5
5176,5176,45,2.5
5178,5178,30,2.5
5179,5179,15,2.5
5181,5181,5,1.0
5295,5295,50,2.5
5297,5297,70,2.5
5298,5298,65,2.5
5299,5299,50,2.5
5300,5300,50,2.5
5301,5301,65,2.5
5302,5302,50,2.5
5303,5303,70,2.5
7841,7841,30,2.5
7842,7842,30,2.5
7843,7843,30,2.5
7844,7844,15,2.5
7845,7845,5,1.0
7846,7846,5,1.0
7847,7847,15,2.5
7862,7862,70,2.5
7863,7863,50,2.5
7864,7864,65,2.5
7865,7865,50,2.5
7948,7948,65,2.5
7949,7949,50,2.5
7950,7950,30,2.5
7951,7951,15,2.5
7952,7952,5,1.0
7954,7954,70,2.5
7956,7956,50,2.5
7957,7957,50,2.5
7958,7958,30,2.5
7959,7959,15,2.5
7960,7960,5,1.0
