Run_Start,Run_End,noedtm,edtmLow,edtmHigh,ptrigHMSLow,ptrigHMSHigh,ptrigSHMSLow,ptrigSHMSHigh,ptrigCOINLow,ptrigCOINHigh,goodstarttime,goodscinhit
5360.0,5360.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
5151.0,5151.0,0.0,2873.0,3436.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
5149.0,5149.0,0.0,2760.0,3323.0,4765.0,5064.0,5528.0,5883.0,0.0,0.0,1.0,1.0
5362.0,5362.0,0.0,2858.0,3300.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
5351.0,5351.0,0.0,2753.0,3254.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
5361.0,5361.0,0.0,2780.0,3368.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
5353.0,5353.0,0.0,2819.0,3375.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
8302.0,8302.0,0.0,3463.0,4018.0,4690.0,5284.0,0.0,1.0,4769.0,5065.0,1.0,1.0
8303.0,8303.0,0.0,3445.0,3939.0,4283.0,4629.0,0.0,1.0,4542.0,5064.0,1.0,1.0
5352.0,5352.0,0.0,2868.0,3267.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
7952.0,7952.0,0.0,2730.0,3291.0,4767.0,5200.0,5475.0,5818.0,0.0,0.0,1.0,1.0
8301.0,8301.0,0.0,3480.0,4073.0,4542.0,5134.0,0.0,1.0,4524.0,5117.0,1.0,1.0
5347.0,5347.0,0.0,2784.0,3292.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
5346.0,5346.0,0.0,2951.0,3335.0,4765.0,5148.0,0.0,0.0,0.0,0.0,1.0,1.0
5359.0,5359.0,0.0,2955.0,3216.0,4767.0,5061.0,0.0,0.0,0.0,0.0,1.0,1.0
5356.0,5356.0,0.0,2721.0,3279.0,4765.0,5317.0,0.0,0.0,0.0,0.0,1.0,1.0
5164.0,5164.0,0.0,2874.0,3437.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
5170.0,5170.0,0.0,2817.0,3380.0,4764.0,5065.0,5517.0,5926.0,0.0,0.0,1.0,1.0
5345.0,5345.0,0.0,2990.0,3226.0,4766.0,5225.0,0.0,0.0,0.0,0.0,1.0,1.0
